"","vtitle","vpoint","vreview"
"40","미나리","10","동석이 형님 트와이스 춤추는 장면때 진짜 숨넘어갈뻔 했어요 ㅎ"
"41","미나리","10","미국의 느낌에 한국의 정서가 스며든 듯한 영화였습니다."
"42","미나리","10","처음 써보는 감상평입니다배우들의 연기는 단연 최고였고감독님의 섬세한 연출또한 최고인 영화가슴으로부터 감동이 올라오는 영화입니다안보신 분들 꼭 보시기를!! 감독님의 신작이 나오면 꼭 보겠습니다"
"43","미나리","4","학교폭력에 대해서 가해자가 피해자 입장이 되어 학폭 피해자가 얼마나 큰 상처 속에서 살아가는지 보여주는것 같은데 흠...먼가 연출력이 부족한걸까 스토리가 미흡한걸까...마음적으로 와닿음이 크지 않았던 그냥 무난하게만 본 영화였네요..."
"44","극장판 귀멸의 칼날: 무한열차편","10","화면이 예쁘고 가족감성이라 좋네요"
"45","PMC: 더 벙커","10","물과 미나리, 그 메타포가 좋다"
"46","미나리","8","한국사람이라면 누구든 공감할만한..그러나 쉽게 기억 못하는 추억."
"47","극장판 귀멸의 칼날: 무한열차편","1","별 반개도 아까운 영화. 문재인스럽다."
"48","세자매","5","눈 덮인 마을에 노년의 인생. 소소한 소재와 복선에 의아한 고평가. 멜라니 그리피스는 왜 굳이 아름다운 상체를 드러내나. 총만 안 들었지 올드한 웨스턴의 향취가 남은 서사."
"49","그랜드파더","10","따뜻해지고 여운이 남는 영화였습니다. 미국땅 어느 작은 숲속에서도 잘 자라는 한국 미나리처럼 우리나라 사람들도 어디서든 잘 살아남길 바라봅니다."
"50","미나리","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"51","미나리","10","꼭보세요 너무 잘만든 영화같아요"
"52","미나리","5","전혀.... 아니올시다."
"53","미나리","8","미국 수맥찾는법 확인가능함. 장비 국내와 유사한걸로 밝혀져."
"54","극장판 귀멸의 칼날: 무한열차편","10",""
"55","PMC: 더 벙커","10","계속 불안한 느낌의 연출, 배우들 연기 다 좋았습니다♡"
"56","미나리","10","국어 교과서에 실려도 이상하지 않을 영화"
"57","극장판 귀멸의 칼날: 무한열차편","10","아파하며 뿌리내린 나무의 이야기"
"58","세자매","1","보고 다시 이야기하겠음"
"59","그랜드파더","10",""
"60","미나리","10","볼만하다. 인생한번 그렇게 사랑한다면야"
"61","미나리","10","시간 아깝다니 졸작이니 뭐니 깔 사람은 그 시간에 또 아까운 시간들여 평점 테러하지말고 본인 시간 아끼도록."
"62","미나리","10","진짜 재밌게 봤습니다 유치하지도 않고.."
"63","미나리","10",""
"64","극장판 귀멸의 칼날: 무한열차편","8","억지 신파가 아닌 담담한 연출로도 충분한 감동"
"65","PMC: 더 벙커","4","걍~ 본능에 충실한... 부럽! ;;;"
"66","미나리","6","잔잔한감동이 있고 돈보다 가족이우선이라는 뭔가 울림이있네요~윤여정씨의 아픈연기는 정말대단해요~데이빗손주와 외할머니의 케미가 돋보였습니다"
"67","극장판 귀멸의 칼날: 무한열차편","2","10원도 아깝다곸ㅋㅋㅋ진짜 유아인 박신혜도 한창 반등해야할 나이인데, 무슨 자신감과 안목으로 차기작을 고르는건지 이해1도 0.01도 안됨"
"68","세자매","10","답답한 현실을 웃으면서 사는 방법에 관한 영화임"
"69","그랜드파더","2","기대하고 봤더니 실망만 했습니다. 스토리 연출이 아주 개판"
"70","미나리","8","저의 눈물을 자극할 정도로 감동적이었어요. 마지막에 데이빗이 할머니한테 달려갈 때 제일 좋았어요. 해피엔딩이었으면 더 좋았을 것 같아요!"
"71","미나리","10","배우들 연기도 좋았고 스토리도 이정도면 나름 만족해요!!다 보고 나서 여운이 오래가네요...."
"72","미나리","10","다른거 다 모르겠고!감독 센스가 대단함! 이건 감독 능력임!영화가 세련됐음!이런 스토리를 이렇게 아름답게 풀다니...보는 내내 영상이 너무 아름답고...음악도 너무 아름다움"
"73","미나리","10","한예리 배우님 연기 정말 훌륭하십니다"
"74","극장판 귀멸의 칼날: 무한열차편","7",""
"75","PMC: 더 벙커","9","개인적으로 영화 버닝을 보다가 같이 보던 친구가 비닐하우스 태우는 신을 보고 실제 자신의 과수원 태운 것처럼 놀라며 아까워했는데 그 기분을 알게되었다. 길버트 그레이프 같은 드라마를 좋아하는 관객이라면 추천한다. 극장 밖을 기분 좋게 나올 수 있던 영화!"
"76","미나리","10","슬프면서도 따뜻한 내 인생 최고의 영화!! 많은 생각을 하게되는 그런 영화 ㅎㅎㅎ"
"77","극장판 귀멸의 칼날: 무한열차편","8","뿌리깊게 자란 가든의 식물은 아니지만 미나리처럼 생명력 강한 영화좋은 곳에 자리잡아 자연에, 바람에 흩날리는 미나리처럼 살아가고 싶은 가족의 이야기"
"78","세자매","10","마지막이 좀 안타까움... 돈 버는 영화.. 강추"
"79","그랜드파더","10","보쿠타치와 모에사카루 타비노토츄데데~~아이~~~"
