"","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"Excellent",3785,3724,3211,165225,3412,2612,1542
"Good",2654,2566,2356,117558,2503,2045,1120
"Slightly Polluted",92,111,84,4188,66,66,41
"Lightly Polluted",23,21,24,924,10,12,7
"Moderately Polluted",21,20,18,667,11,13,12
"Heavily Polluted",1,1,1,127,1,0,1
